image_id,storm_id,relative_time,ocean
aek_014,aek,50400,1
aek_015,aek,54000,1
aek_016,aek,57600,1
aek_017,aek,61200,1
aek_018,aek,64800,1
aek_019,aek,68400,1
aek_020,aek,72000,1
aek_021,aek,75600,1
aek_022,aek,79200,1
aek_023,aek,82800,1
aek_024,aek,86400,1
aek_025,aek,90000,1
aek_026,aek,93600,1
aek_027,aek,97200,1
aek_028,aek,100800,1
aek_029,aek,104400,1
aek_030,aek,108000,1
aek_031,aek,111600,1
afs_000,afs,0,2
afs_001,afs,1798,2
afs_002,afs,3599,2
afs_003,afs,5399,2
afs_004,afs,7198,2
afs_005,afs,10799,2
afs_006,afs,12598,2
afs_007,afs,16198,2
afs_008,afs,21597,2
afs_009,afs,23397,2
afs_010,afs,25197,2
afs_011,afs,28797,2
afs_012,afs,32397,2
afs_013,afs,35997,2
afs_014,afs,37798,2
afs_015,afs,39597,2
afs_016,afs,43197,2
afs_017,afs,44997,2
afs_018,afs,46797,2
afs_019,afs,48597,2
afs_020,afs,50397,2
afs_021,afs,53999,2
afs_022,afs,55798,2
afs_023,afs,57597,2
afs_024,afs,59397,2
afs_025,afs,61198,2
afs_026,afs,64799,2
afs_027,afs,66598,2
afs_028,afs,68398,2
afs_029,afs,70200,2
afs_030,afs,72000,2
afs_031,afs,75598,2
afs_032,afs,77398,2
afs_033,afs,79198,2
afs_034,afs,80998,2
afs_035,afs,82798,2
afs_036,afs,86398,2
afs_037,afs,88200,2
afs_038,afs,89998,2
afs_039,afs,91799,2
afs_040,afs,93599,2
afs_041,afs,97198,2
afs_042,afs,98999,2
afs_043,afs,102598,2
afs_044,afs,107997,2
afs_045,afs,109798,2
afs_046,afs,111597,2
afs_047,afs,115196,2
afs_048,afs,118797,2
afs_049,afs,122399,2
afs_050,afs,124198,2
afs_051,afs,125997,2
afs_052,afs,129598,2
afs_053,afs,131397,2
afs_054,afs,133197,2
afs_055,afs,134997,2
afs_056,afs,136797,2
afs_057,afs,140397,2
afs_058,afs,142197,2
afs_059,afs,143997,2
afs_060,afs,145797,2
afs_061,afs,147598,2
afs_062,afs,151198,2
afs_063,afs,152998,2
afs_064,afs,154798,2
afs_065,afs,156598,2
afs_066,afs,158400,2
afs_067,afs,161998,2
afs_068,afs,163799,2
afs_069,afs,165598,2
afs_070,afs,167398,2
afs_071,afs,169198,2
afs_072,afs,172798,2
afs_073,afs,174598,2
afs_074,afs,176400,2
afs_075,afs,178199,2
afs_076,afs,179998,2
afs_077,afs,183598,2
afs_078,afs,185398,2
afs_079,afs,188998,2
afs_080,afs,194397,2
afs_081,afs,196198,2
afs_082,afs,197997,2
afs_083,afs,201597,2
afs_084,afs,205197,2
afs_085,afs,208797,2
afs_086,afs,253798,2
afs_087,afs,255598,2
afs_088,afs,259198,2
afs_089,afs,261000,2
afs_090,afs,262798,2
afs_091,afs,264599,2
afs_092,afs,266399,2
afs_093,afs,269998,2
afs_094,afs,271799,2
afs_095,afs,275398,2
afs_096,afs,280797,2
afs_097,afs,282598,2
afs_098,afs,284397,2
afs_099,afs,287997,2
afs_100,afs,291597,2
afs_101,afs,295197,2
afs_102,afs,296997,2
afs_103,afs,298798,2
afs_104,afs,302396,2
afs_105,afs,304197,2
afs_106,afs,305997,2
afs_107,afs,307797,2
afs_108,afs,309597,2
afs_109,afs,313197,2
afs_110,afs,314997,2
afs_111,afs,316797,2
afs_112,afs,318598,2
afs_113,afs,320398,2
afs_114,afs,323998,2
afs_115,afs,325798,2
afs_116,afs,327598,2
afs_117,afs,329398,2
afs_118,afs,331200,2
afs_119,afs,334798,2
afs_120,afs,336599,2
afs_121,afs,338398,2
afs_122,afs,340198,2
afs_123,afs,341998,2
afs_124,afs,345598,2
afs_125,afs,347398,2
afs_126,afs,349200,2
afs_127,afs,350999,2
afs_128,afs,352798,2
afs_129,afs,356398,2
afs_130,afs,358198,2
afs_131,afs,361798,2
afs_132,afs,367197,2
afs_133,afs,368998,2
afs_134,afs,370797,2
afs_135,afs,374397,2
afs_136,afs,377997,2
afs_137,afs,381597,2
afs_138,afs,383399,2
afs_139,afs,385198,2
afs_140,afs,388797,2
afs_141,afs,390598,2
afs_142,afs,392397,2
afs_143,afs,394197,2
afs_144,afs,395997,2
afs_145,afs,399599,2
afs_146,afs,401397,2
afs_147,afs,403198,2
afs_148,afs,404998,2
afs_149,afs,406798,2
afs_150,afs,410398,2
afs_151,afs,412198,2
afs_152,afs,413998,2
afs_153,afs,415798,2
afs_154,afs,417598,2
afs_155,afs,421198,2
afs_156,afs,422998,2
afs_157,afs,424798,2
afs_158,afs,426598,2
afs_159,afs,428398,2
afs_160,afs,431998,2
afs_161,afs,433800,2
afs_162,afs,435598,2
afs_163,afs,437399,2
afs_164,afs,439199,2
afs_165,afs,442798,2
afs_166,afs,444598,2
afs_167,afs,448199,2
afs_168,afs,453597,2
afs_169,afs,455398,2
afs_170,afs,457197,2
afs_171,afs,460797,2
afs_172,afs,464397,2
afs_173,afs,467997,2
afs_174,afs,469797,2
afs_175,afs,471598,2
afs_176,afs,475197,2
afs_177,afs,476997,2
afs_178,afs,478797,2
afs_179,afs,480597,2
afs_180,afs,482397,2
afs_181,afs,485997,2
afs_182,afs,487799,2
afs_183,afs,489597,2
afs_184,afs,491398,2
afs_185,afs,493199,2
afs_186,afs,496798,2
afs_187,afs,498599,2
afs_188,afs,500398,2
afs_189,afs,502198,2
afs_190,afs,503998,2
afs_191,afs,507598,2
afs_192,afs,509399,2
afs_193,afs,511198,2
afs_194,afs,512999,2
afs_195,afs,514798,2
afs_196,afs,518398,2
afs_197,afs,520198,2
afs_198,afs,522000,2
afs_199,afs,523800,2
afs_200,afs,525599,2
afs_201,afs,529198,2
afs_202,afs,530998,2
afs_203,afs,534598,2
afs_204,afs,539999,2
afs_205,afs,541798,2
afs_206,afs,543597,2
afs_207,afs,547197,2
afs_208,afs,550797,2
afs_209,afs,554397,2
afs_210,afs,556199,2
afs_211,afs,557997,2
afs_212,afs,561597,2
afs_213,afs,563397,2
afs_214,afs,565197,2
afs_215,afs,566997,2
afs_216,afs,568797,2
afs_217,afs,572397,2
afs_218,afs,574197,2
afs_219,afs,575998,2
afs_220,afs,577798,2
agl_000,agl,0,2
agl_001,agl,3600,2
agl_002,agl,86399,2
agl_003,agl,90000,2
agl_004,agl,172800,2
agl_005,agl,176400,2
agl_006,agl,180000,2
agl_007,agl,225001,2
agl_008,agl,226801,2
agl_009,agl,230401,2
agl_010,agl,232203,2
agl_011,agl,234001,2
agl_012,agl,235802,2
agl_013,agl,237602,2
agl_014,agl,241201,2
agl_015,agl,243002,2
agl_016,agl,246601,2
agl_017,agl,252000,2
agl_018,agl,253801,2
agl_019,agl,255600,2
agl_020,agl,259200,2
agl_021,agl,262800,2
agl_022,agl,266400,2
agl_023,agl,268200,2
agl_024,agl,270001,2
agl_025,agl,273599,2
agl_026,agl,275400,2
agl_027,agl,277200,2
agl_028,agl,279000,2
agl_029,agl,280800,2
agl_030,agl,284400,2
agl_031,agl,286200,2
agl_032,agl,288000,2
agl_033,agl,289801,2
agl_034,agl,291601,2
agl_035,agl,295201,2
agl_036,agl,297001,2
agl_037,agl,298801,2
agl_038,agl,300601,2
agl_039,agl,302403,2
agl_040,agl,306001,2
agl_041,agl,307802,2
agl_042,agl,309601,2
agl_043,agl,311401,2
agl_044,agl,313201,2
agl_045,agl,316801,2
agl_046,agl,318601,2
agl_047,agl,320403,2
agl_048,agl,322202,2
agl_049,agl,324001,2
agl_050,agl,327601,2
agl_051,agl,329401,2
agl_052,agl,333001,2
agl_053,agl,338400,2
agl_054,agl,340201,2
agl_055,agl,342000,2
agl_056,agl,345600,2
agl_057,agl,349200,2
agl_058,agl,352800,2
agl_059,agl,354602,2
agl_060,agl,356401,2
agl_061,agl,360000,2
agl_062,agl,361801,2
agl_063,agl,363600,2
agl_064,agl,365400,2
agl_065,agl,367200,2
agl_066,agl,370802,2
agl_067,agl,372600,2
agl_068,agl,374401,2
agl_069,agl,376201,2
agl_070,agl,378001,2
agl_071,agl,381601,2
agl_072,agl,383401,2
agl_073,agl,385201,2
agl_074,agl,387001,2
agl_075,agl,388801,2
agl_076,agl,392401,2
agl_077,agl,394201,2
agl_078,agl,396001,2
agl_079,agl,397801,2
agl_080,agl,399601,2
agl_081,agl,403201,2
agl_082,agl,405003,2
agl_083,agl,406801,2
agl_084,agl,408602,2
agl_085,agl,410402,2
agl_086,agl,414001,2
agl_087,agl,415801,2
agl_088,agl,419402,2
agl_089,agl,424800,2
agl_090,agl,426601,2
agl_091,agl,428400,2
agl_092,agl,432000,2
agl_093,agl,435600,2
agl_094,agl,439200,2
agl_095,agl,441000,2
agl_096,agl,442801,2
agl_097,agl,446400,2
agl_098,agl,448200,2
agl_099,agl,450000,2
agl_100,agl,451800,2
agl_101,agl,453600,2
agl_102,agl,457200,2
agl_103,agl,459002,2
agl_104,agl,460800,2
agl_105,agl,462601,2
agl_106,agl,464402,2
agl_107,agl,468001,2
agl_108,agl,469802,2
agl_109,agl,471601,2
agl_110,agl,473401,2
agl_111,agl,475201,2
agl_112,agl,478801,2
agl_113,agl,480602,2
agl_114,agl,482401,2
agl_115,agl,484202,2
agl_116,agl,486001,2
agl_117,agl,489601,2
agl_118,agl,491401,2
agl_119,agl,493203,2
agl_120,agl,495003,2
agl_121,agl,496802,2
agl_122,agl,500401,2
agl_123,agl,502201,2
agl_124,agl,505801,2
agl_125,agl,511202,2
agl_126,agl,513001,2
agl_127,agl,514800,2
agl_128,agl,518400,2
aja_000,aja,0,1
aja_001,aja,1801,1
aja_002,aja,3601,1
aja_003,aja,5400,1
aja_004,aja,7201,1
aja_005,aja,10800,1
aja_006,aja,12600,1
aja_007,aja,14401,1
aja_008,aja,16200,1
aja_009,aja,18000,1
aja_010,aja,21600,1
aja_011,aja,23401,1
aja_012,aja,25200,1
aja_013,aja,27000,1
aja_014,aja,28800,1
aja_015,aja,32402,1
aja_016,aja,34202,1
aja_017,aja,36002,1
aja_018,aja,37802,1
aja_019,aja,39602,1
aja_020,aja,48602,1
aja_021,aja,54002,1
aja_022,aja,66602,1
aja_023,aja,68402,1
aja_024,aja,70202,1
aja_025,aja,77400,1
aja_026,aja,79201,1
aja_027,aja,81001,1
aja_028,aja,82801,1
aja_029,aja,86400,1
aja_030,aja,88200,1
aja_031,aja,90000,1
aja_032,aja,91800,1
aja_033,aja,93601,1
aja_034,aja,97201,1
aja_035,aja,99000,1
aja_036,aja,100800,1
aja_037,aja,102601,1
aja_038,aja,104400,1
aja_039,aja,108001,1
aja_040,aja,109800,1
aja_041,aja,111601,1
aja_042,aja,113401,1
aja_043,aja,115201,1
aja_044,aja,118802,1
aja_045,aja,120602,1
aja_046,aja,122402,1
aja_047,aja,124202,1
aja_048,aja,126002,1
aja_049,aja,129602,1
aja_050,aja,131402,1
aja_051,aja,133202,1
aja_052,aja,135002,1
aja_053,aja,136802,1
aja_054,aja,140402,1
aja_055,aja,153002,1
aja_056,aja,154802,1
aja_057,aja,156602,1
aja_058,aja,163800,1
aja_059,aja,167400,1
aja_060,aja,169201,1
aja_061,aja,172801,1
aja_062,aja,174601,1
aja_063,aja,176400,1
aja_064,aja,178201,1
aja_065,aja,180000,1
aja_066,aja,183601,1
aja_067,aja,185401,1
aja_068,aja,187201,1
aja_069,aja,189001,1
aja_070,aja,190801,1
aja_071,aja,194400,1
aja_072,aja,196200,1
aja_073,aja,198001,1
aja_074,aja,199800,1
aja_075,aja,201601,1
aja_076,aja,205200,1
aja_077,aja,207001,1
aja_078,aja,208800,1
aja_079,aja,210601,1
aja_080,aja,212401,1
aja_081,aja,216001,1
aja_082,aja,217801,1
aja_083,aja,219601,1
aja_084,aja,221400,1
aja_085,aja,223201,1
aja_086,aja,226800,1
aja_087,aja,228600,1
aja_088,aja,239402,1
aja_089,aja,241202,1
aja_090,aja,243002,1
aja_091,aja,250200,1
aja_092,aja,253800,1
aja_093,aja,255601,1
aja_094,aja,259200,1
aja_095,aja,261001,1
aja_096,aja,262801,1
aja_097,aja,264601,1
aja_098,aja,266401,1
aja_099,aja,270001,1
aja_100,aja,271800,1
aja_101,aja,273600,1
aja_102,aja,275400,1
aja_103,aja,277200,1
aja_104,aja,280801,1
aja_105,aja,282601,1
aja_106,aja,284401,1
aja_107,aja,286201,1
aja_108,aja,288001,1
aja_109,aja,291602,1
aja_110,aja,293402,1
aja_111,aja,295202,1
aja_112,aja,297002,1
aja_113,aja,298802,1
aja_114,aja,302402,1
aja_115,aja,304202,1
aja_116,aja,306002,1
aja_117,aja,307802,1
aja_118,aja,309602,1
aja_119,aja,313202,1
aja_120,aja,325802,1
aja_121,aja,327602,1
aja_122,aja,329402,1
aja_123,aja,336600,1
aja_124,aja,340200,1
aja_125,aja,342000,1
aja_126,aja,345600,1
aja_127,aja,347400,1
aja_128,aja,349200,1
aja_129,aja,351001,1
aja_130,aja,352801,1
aja_131,aja,356401,1
aja_132,aja,358200,1
aja_133,aja,360000,1
aja_134,aja,361800,1
aja_135,aja,363601,1
aja_136,aja,367201,1
aja_137,aja,369001,1
aja_138,aja,370801,1
aja_139,aja,372601,1
aja_140,aja,374400,1
aja_141,aja,378002,1
aja_142,aja,379802,1
aja_143,aja,381602,1
aja_144,aja,383402,1
aja_145,aja,385202,1
aja_146,aja,388802,1
aja_147,aja,390602,1
aja_148,aja,392402,1
aja_149,aja,394202,1
aja_150,aja,396002,1
aja_151,aja,399602,1
aja_152,aja,412202,1
aja_153,aja,414002,1
aja_154,aja,415802,1
aja_155,aja,423000,1
aja_156,aja,426601,1
aja_157,aja,428401,1
aja_158,aja,432000,1
aja_159,aja,433800,1
aja_160,aja,435600,1
aja_161,aja,437400,1
aja_162,aja,439200,1
aja_163,aja,442801,1
aja_164,aja,444601,1
aja_165,aja,446400,1
aja_166,aja,448200,1
aja_167,aja,450000,1
aja_168,aja,453600,1
aja_169,aja,455400,1
aja_170,aja,457201,1
aja_171,aja,459001,1
aja_172,aja,460800,1
aja_173,aja,464402,1
aja_174,aja,466202,1
aja_175,aja,468002,1
aja_176,aja,469802,1
aja_177,aja,471602,1
aja_178,aja,475202,1
aja_179,aja,477002,1
aja_180,aja,478802,1
aja_181,aja,480602,1
aja_182,aja,482402,1
aja_183,aja,486002,1
aja_184,aja,498602,1
aja_185,aja,500402,1
aja_186,aja,502202,1
aja_187,aja,509400,1
aja_188,aja,513000,1
aja_189,aja,514801,1
aja_190,aja,518400,1
aja_191,aja,520200,1
aja_192,aja,522001,1
aja_193,aja,523800,1
aja_194,aja,525601,1
aja_195,aja,529201,1
aja_196,aja,531001,1
aja_197,aja,532801,1
aja_198,aja,534601,1
aja_199,aja,536401,1
aja_200,aja,540000,1
aja_201,aja,541801,1
aja_202,aja,543600,1
aja_203,aja,545400,1
aja_204,aja,547200,1
aja_205,aja,550801,1
aja_206,aja,552600,1
aja_207,aja,554400,1
aja_208,aja,556200,1
aja_209,aja,558000,1
aja_210,aja,561600,1
aja_211,aja,563400,1
aja_212,aja,565201,1
aja_213,aja,567001,1
aja_214,aja,568801,1
aja_215,aja,572400,1
akq_000,akq,0,2
akq_001,akq,1800,2
akq_002,akq,3600,2
akq_003,akq,5400,2
akq_004,akq,7200,2
akq_005,akq,10800,2
akq_006,akq,12600,2
akq_007,akq,14400,2
akq_008,akq,16200,2
akq_009,akq,18000,2
akq_010,akq,21600,2
akq_011,akq,23400,2
akq_012,akq,25200,2
akq_013,akq,27000,2
akq_014,akq,28800,2
akq_015,akq,32400,2
akq_016,akq,34200,2
akq_017,akq,36000,2
akq_018,akq,37802,2
akq_019,akq,39601,2
akq_020,akq,43201,2
akq_021,akq,45001,2
akq_022,akq,46801,2
akq_023,akq,48602,2
alc_000,alc,0,2
alc_001,alc,1799,2
alc_002,alc,3600,2
alc_003,alc,7199,2
alc_004,alc,9000,2
alc_005,alc,10800,2
alc_006,alc,12600,2
alc_007,alc,14400,2
alc_008,alc,18000,2
alc_009,alc,19800,2
alq_000,alq,0,1
alq_001,alq,1800,1
alq_002,alq,3600,1
alq_003,alq,5400,1
alq_004,alq,7200,1
alq_005,alq,10800,1
alq_006,alq,12601,1
alq_007,alq,14400,1
alq_008,alq,16200,1
alq_009,alq,18000,1
alq_010,alq,21600,1
alq_011,alq,23400,1
alq_012,alq,25202,1
alq_013,alq,27000,1
alq_014,alq,28801,1
alq_015,alq,32401,1
alq_016,alq,34202,1
alq_017,alq,36001,1
alq_018,alq,37801,1
alq_019,alq,39602,1
alq_020,alq,43202,1
alq_021,alq,45001,1
alq_022,alq,46802,1
alq_023,alq,48602,1
alq_024,alq,50401,1
alq_025,alq,54002,1
alq_026,alq,55801,1
alq_027,alq,57601,1
alq_028,alq,59401,1
alq_029,alq,61201,1
alq_030,alq,64801,1
alq_031,alq,66601,1
alq_032,alq,68402,1
alq_033,alq,70201,1
alq_034,alq,72001,1
alq_035,alq,75600,1
alq_036,alq,77400,1
alq_037,alq,79199,1
alq_038,alq,81001,1
alq_039,alq,82800,1
alq_040,alq,86400,1
alq_041,alq,88200,1
alq_042,alq,90000,1
alq_043,alq,91800,1
alq_044,alq,93600,1
alq_045,alq,97200,1
alq_046,alq,99000,1
alq_047,alq,100801,1
alq_048,alq,102600,1
alq_049,alq,104400,1
alq_050,alq,108000,1
alq_051,alq,109800,1
alq_052,alq,111600,1
alq_053,alq,113400,1
alq_054,alq,115202,1
alq_055,alq,118801,1
alq_056,alq,120601,1
alq_057,alq,122402,1
alq_058,alq,124201,1
alq_059,alq,126001,1
alq_060,alq,129601,1
alq_061,alq,131403,1
alq_062,alq,133201,1
alq_063,alq,135001,1
alq_064,alq,136802,1
alq_065,alq,140402,1
alq_066,alq,142202,1
alq_067,alq,144001,1
alq_068,alq,145802,1
alq_069,alq,147601,1
alq_070,alq,151202,1
alq_071,alq,153001,1
alq_072,alq,154801,1
alq_073,alq,156602,1
alq_074,alq,158401,1
alq_075,alq,162000,1
alq_076,alq,163800,1
alq_077,alq,165600,1
alq_078,alq,167399,1
alq_079,alq,169201,1
alq_080,alq,172800,1
alq_081,alq,174600,1
alq_082,alq,176400,1
alq_083,alq,178200,1
alq_084,alq,180000,1
alq_085,alq,183600,1
alq_086,alq,187200,1
alq_087,alq,189001,1
alq_088,alq,190800,1
alq_089,alq,194400,1
alq_090,alq,196200,1
alq_091,alq,198000,1
alq_092,alq,199800,1
alq_093,alq,201599,1
alq_094,alq,205202,1
alq_095,alq,207001,1
alq_096,alq,208801,1
alq_097,alq,210602,1
alq_098,alq,212401,1
alq_099,alq,216001,1
alq_100,alq,217801,1
alq_101,alq,219603,1
alq_102,alq,221401,1
alq_103,alq,223202,1
alq_104,alq,226801,1
alq_105,alq,228601,1
alq_106,alq,230401,1
alq_107,alq,232201,1
alq_108,alq,234002,1
alq_109,alq,237601,1
alq_110,alq,239401,1
alq_111,alq,241201,1
alq_112,alq,243001,1
alq_113,alq,244801,1
alq_114,alq,248400,1
alq_115,alq,250200,1
alq_116,alq,252000,1
alq_117,alq,253800,1
alq_118,alq,255600,1
alq_119,alq,259200,1
alq_120,alq,261000,1
alq_121,alq,262800,1
alq_122,alq,264599,1
alq_123,alq,266400,1
alq_124,alq,270000,1
alq_125,alq,271800,1
alq_126,alq,273602,1
alq_127,alq,275400,1
alq_128,alq,277201,1
alq_129,alq,280800,1
alq_130,alq,282600,1
alq_131,alq,284399,1
alq_132,alq,286200,1
alq_133,alq,288000,1
alq_134,alq,291603,1
alq_135,alq,293402,1
alq_136,alq,295201,1
alq_137,alq,297001,1
alq_138,alq,298801,1
alq_139,alq,302402,1
alq_140,alq,304201,1
alq_141,alq,306001,1
alq_142,alq,307803,1
alq_143,alq,309601,1
alq_144,alq,324001,1
alq_145,alq,325801,1
alq_146,alq,327602,1
alq_147,alq,329401,1
alq_148,alq,331202,1
alq_149,alq,334800,1
alq_150,alq,336600,1
alq_151,alq,338400,1
alq_152,alq,340200,1
alq_153,alq,342000,1
alq_154,alq,345600,1
alq_155,alq,347400,1
alq_156,alq,349200,1
alq_157,alq,351000,1
alq_158,alq,352800,1
alq_159,alq,356400,1
alq_160,alq,358200,1
alq_161,alq,360000,1
alq_162,alq,361802,1
alq_163,alq,363600,1
alq_164,alq,367199,1
alq_165,alq,369000,1
alq_166,alq,370800,1
alq_167,alq,374400,1
alq_168,alq,378001,1
alq_169,alq,379801,1
alq_170,alq,381602,1
alq_171,alq,383401,1
alq_172,alq,385201,1
alq_173,alq,388801,1
alq_174,alq,390602,1
alq_175,alq,392401,1
alq_176,alq,394201,1
alq_177,alq,396002,1
alq_178,alq,399602,1
alq_179,alq,401401,1
alq_180,alq,403201,1
alq_181,alq,405002,1
alq_182,alq,406801,1
alq_183,alq,410402,1
alq_184,alq,412201,1
alq_185,alq,414003,1
alq_186,alq,415801,1
alq_187,alq,417601,1
alq_188,alq,421200,1
alq_189,alq,423000,1
alq_190,alq,424800,1
alq_191,alq,426600,1
alq_192,alq,428400,1
alq_193,alq,432000,1
alq_194,alq,433801,1
alq_195,alq,435600,1
alq_196,alq,437400,1
alq_197,alq,439200,1
alq_198,alq,442800,1
alq_199,alq,444600,1
alq_200,alq,446400,1
alq_201,alq,448200,1
alq_202,alq,450002,1
alq_203,alq,453600,1
alq_204,alq,455400,1
alq_205,alq,457200,1
alq_206,alq,459000,1
alq_207,alq,460800,1
alq_208,alq,464402,1
alq_209,alq,466201,1
alq_210,alq,468001,1
alq_211,alq,469801,1
alq_212,alq,471601,1
alq_213,alq,475201,1
alq_214,alq,477001,1
alq_215,alq,478802,1
alq_216,alq,480601,1
alq_217,alq,482401,1
alq_218,alq,486003,1
alq_219,alq,487802,1
alq_220,alq,489601,1
alq_221,alq,491401,1
alq_222,alq,493202,1
alq_223,alq,496802,1
alq_224,alq,498601,1
alq_225,alq,500401,1
alq_226,alq,502202,1
alq_227,alq,504001,1
alq_228,alq,507600,1
alq_229,alq,509400,1
alq_230,alq,511200,1
alq_231,alq,513000,1
alq_232,alq,514800,1
alq_233,alq,518400,1
alq_234,alq,520200,1
alq_235,alq,522001,1
alq_236,alq,523800,1
alq_237,alq,525600,1
alq_238,alq,529200,1
alq_239,alq,531000,1
alq_240,alq,532800,1
alq_241,alq,534600,1
alq_242,alq,536402,1
alq_243,alq,540000,1
alq_244,alq,541800,1
alq_245,alq,543600,1
alq_246,alq,545400,1
alq_247,alq,547200,1
alq_248,alq,550802,1
alq_249,alq,552601,1
alq_250,alq,554401,1
alq_251,alq,556202,1
alq_252,alq,558001,1
alq_253,alq,561602,1
alq_254,alq,563401,1
alq_255,alq,565201,1
alq_256,alq,567001,1
alq_257,alq,568801,1
alq_258,alq,572401,1
alq_259,alq,574201,1
alq_260,alq,576002,1
alq_261,alq,577801,1
